Bevoegd Gezag,Sector,Groepering,Naam,Jaar,Key,Lonen en salarissen,Sociale lasten,Pensioenlasten,Lasten personeel niet in loondienst,Personeelslasten,Lonen en salarissen/totaal personeel,Sociale lasten/totaal personeel,Pensioenlasten/totaal personeel,Lasten personeel niet in loondienst/totaal personeel,Afschrijvingen op materiÔle vaste activa,Afschrijvingen,Huurlasten,Onderhoudslasten (klein onderhoud),Lasten voor energie en water,Schoonmaakkosten,Belastingen en heffingen,Overige (overige huisvestingslasten),Huisvestingslasten,Administratie- en beheerslasten,Inventaris en apparatuur,Overige (overige overige lasten),Overige lasten,Accountantshonoraria inzake het onderzoek van de jaarrekening,Accountantshonoraria
20012,PO,BO2,Vereniging voor P.C.B.O.,2014,20012-2014,"826,814","190,907","112,784",,"1,115,711",0.74,0.17,0.10,0.00,"39,548","39,548",,"4,437","18,196","14,208","3,873","2,276","61,990","40,153","52,271","45,632","138,056","3,267","3,267"
20012,PO,BO2,Vereniging voor P.C.B.O.,2015,20012-2015,"809,074","103,991","96,928",,"1,144,222",0.71,0.09,0.08,0.00,"35,871","35,871",41,"6,086","17,169","14,534","4,687","1,230","82,232","40,580","62,591","67,200","170,371","3,570","3,570"
20012,PO,BO2,Vereniging voor P.C.B.O.,2016,20012-2016,"778,787","105,514","90,706",,"1,066,148",0.73,0.10,0.09,0.00,"41,005","41,005",25,"11,733","17,947","16,425","4,454","12,448","106,032","63,856","75,404","47,386","186,646","4,901","4,901"
20137,PO,SPEC,Stg. Spec. Onderw. de Bolster,2012,20137-2012,"2,286,925","357,952","278,584","174,465","3,159,632",0.72,0.11,0.09,0.06,"29,293","29,293","113,849","21,145","49,769","37,740","9,150","17,632","205,145","172,182","163,657","4,848","340,687",,
20137,PO,SPEC,Stg. Spec. Onderw. de Bolster,2013,20137-2013,"2,046,453","491,478","333,948","149,250","3,179,437",0.64,0.15,0.11,0.05,"28,503","28,503","14,599","24,931","48,575","44,034","3,437","138,664","284,774","167,845","179,665","1,169","348,679",,
20137,PO,SPEC,Stg. Spec. Onderw. de Bolster,2014,20137-2014,"1,886,931","508,921","309,033","119,139","3,067,973",0.62,0.17,0.10,0.04,"38,287","38,287",,"25,681","12,910","54,514","4,827","85,859","195,240","104,464","176,166","2,117","282,747",,
20137,PO,SPEC,Stg. Spec. Onderw. de Bolster,2015,20137-2015,"2,067,544","482,030","256,219","155,190","2,689,898",0.77,0.18,0.10,0.06,"46,704","46,704",,"32,595","19,237","44,891","2,875","39,633","140,318","84,852",,"146,957","404,176",,
20137,PO,SPEC,Stg. Spec. Onderw. de Bolster,2016,20137-2016,"2,087,341","354,644","248,238","82,374","2,378,721",0.88,0.15,0.10,0.03,"48,639","48,639","15,215","118,224","34,451","16,160",493,"39,677","259,071","154,225",,"123,617","458,215",,
20183,PO,BO2,Ver. Chr. Ond. Ref. Grondsl.,2012,20183-2012,"758,640","165,602","97,847",,"1,030,110",0.74,0.16,0.09,0.00,"42,380","42,380",,"9,719","18,826","4,257","1,010","7,338","41,150","42,177","59,826","37,450","139,453","4,558","4,558"
20183,PO,BO2,Ver. Chr. Ond. Ref. Grondsl.,2013,20183-2013,"715,239","138,392","100,352",,"950,305",0.75,0.15,0.11,0.00,"43,826","43,826",,"3,907","22,305","6,059","1,064","5,717","49,052","41,425","79,312","30,997","151,734","4,755","4,755"
20183,PO,BO2,Ver. Chr. Ond. Ref. Grondsl.,2014,20183-2014,"680,677","132,577","95,143",736,"944,910",0.72,0.14,0.10,0.00,"44,744","44,744",,"10,192","22,765","4,518","1,014","7,856","60,345","43,192",,"114,962","158,154","4,235","4,235"
20183,PO,BO2,Ver. Chr. Ond. Ref. Grondsl.,2015,20183-2015,"721,283","147,729","84,716","12,793","983,535",0.73,0.15,0.09,0.01,"45,662","45,662",,"7,627","20,983","6,124","2,436","26,514","103,684","45,465","1,914","22,059","131,887","4,356","4,356"
20183,PO,BO2,Ver. Chr. Ond. Ref. Grondsl.,2016,20183-2016,"716,937","142,508","80,789","23,628","994,442",0.72,0.14,0.08,0.02,"48,489","48,489",0,"9,775","24,089","6,807","2,205","7,009","111,885","36,446",254,"32,123","147,676","3,388","3,388"
20210,PO,BO1,Stichting Matthijsje,2012,20210-2012,"241,705","26,393","29,504",,"304,973",0.79,0.09,0.10,0.00,"4,475","4,475",,"25,231","12,058","1,412","1,286",226,"40,213","22,497","16,973","35,641","75,111","3,500","3,500"
